Date	Nasdaq		AA	AAPL	AET	ALTR	AMAT	AMD	AMGN	AOC	APA	APD	ASH	AT	AVY	AXP	AYE	BA	BAC	BAX	BBY	BC	BF-B	BLL	BMY	BNI	C	CAH	CAT	CCE	CCL	CEG	CFC	CLX	CMI	COP	COST	CSX	CVX	DD	DELL	DIS	DOV	DUK	ED	EDS	EIX	EK	EOG	EXC	F	FPL	FRX	GE	GM	GPS	GT	HD	HLT	HON	HPC	HPQ	HRB	HSY	HUM	IBM	INTC	IPG	JNJ	JPM	JWN	K	KBH	KMI	KO	KR	LEG	LEN	LLY	LM	LMT	LOW	LUV	MAS
1/17/1990	-0.001482404		-0.08498033	-0.04774776	-0.02309571	0.04348511	0.0235305	-0.0309303	0	-0.02247286	0.006622541	-0.01054491	-0.01278654	-0.003665245	-0.004089985	-0.01841056	0	0.006050439	0.00516797	0	0	-0.0181726	-0.02486004	-0.003875974	0.006891826	-0.01183446	0.02547909	-0.03369385	-0.03889948	0	0.03261159	-0.0198463	-0.03077166	0.001558847	-0.007676447	-0.01161116	-0.0297641	-0.01878791	-0.005665738	-0.01349093	-0.1823216	-0.01605964	-0.007745972	-0.01149438	-0.009468771	-0.006747014	-0.006444705	0	0.006079046	0.01219527	-0.01688822	0.003965636	-0.00389864	-0.002861232	-0.0120518	-0.01257878	-0.03016714	0.03096223	-0.02043867	-0.02172182	-0.01278344	-0.01894509	-0.01085002	-0.01016958	-0.01608614	-0.01242923	0	-0.02283204	-0.009606222	-0.003913899	-0.01507911	-0.0112466	-0.01805465	0	-0.007209837	-0.0171924	-0.003960401	-0.00995033	-0.003738322	0	-0.01850762	0.01342302	-0.03208831	-0.01941809
1/18/1990	-0.001189577		-0.005231049	-0.02739897	0.009302393	0	-0.0235305	0	-0.01818232	-0.008559253	-0.036979	-0.01304109	0.003211994	0.003665245	0	0	-0.003302149	-0.004029555	-0.01384105	0.01058211	0	0	-0.01035087	0	0.004112412	0.019647	0.01250016	-0.04785602	0.01038431	0.01472161	-0.01345915	0.01107431	-0.01574836	0.0062112	-0.002373888	0	-0.01522099	0.003442344	0.007923075	0.006768215	0	-0.002493767	0.01082764	0	0	0.001932368	0.003227544	0.009322799	-0.006079046	0.01204834	0	0.002635048	0	0.01139613	0.003458217	-0.01273903	-0.01507025	0.03003229	-0.006906786	0.01675081	0.003502631	-0.008230499	-0.003642991	0.003401364	0.0120888	0.005963693	-0.009216655	-0.01629838	0.009606222	-0.007874056	0	0.00188324	0.03774033	-0.01706526	-0.005805532	0	0.00790518	0	0.005602256	0.02912827	0.003729029	0.01324523	0	0.02421426
1/19/1990	0.003362041		-0.01054491	0.05657035	0	0.02105341	0	-0.01849458	0.009132484	0.005714301	0.036979	-0.0180619	-0.006434339	0.02647567	-0.004106782	-0.005080451	0.003302149	0.01469632	0.03761127	0.0104713	0.04445176	-0.001079331	0.01035087	0	0.002732242	0.01160555	0	0.0129872	-0.004140793	-0.006282743	-0.01364278	0.004395611	0.07637298	-0.007770047	0	0.01593082	0.00306279	-0.006896579	0.01566028	0.01256824	0	-0.002500001	-0.01863408	0.01434745	-0.01490975	-0.008725213	-0.00646554	-0.009322799	0.01612938	-0.01812738	0.00727276	0	0.01550419	0.01685433	0.008593579	0.006389798	-0.01897867	0.01759576	0.01766484	-0.006666691	-0.02957046	-0.01666705	-0.01100929	0	0.02505075	-0.008686265	0.01834914	0.01629838	0.01140697	-0.003960401	-0.006930035	-0.01899392	-0.02766975	0.01197619	0.007251663	-0.01749316	0.01949379	0.01980263	0	0	-0.006222795	0.01307208	0	-0.03036056
1/22/1990	-0.008956895		-0.03049564	-0.02917138	-0.03774033	0	-0.02409755	0	-0.02765153	-0.002853069	-0.01496287	0.002427186	-0.02615953	-0.01074637	-0.04309653	-0.03630476	-0.006615239	-0.02756477	-0.01692088	-0.02105341	0	-0.0374081	-0.02314918	-0.01960847	-0.0432123	-0.02729214	-0.04445176	-0.06324903	-0.01252626	0	-0.01941809	-0.01546992	-0.09237332	-0.02527781	-0.02040887	-0.02032	-0.04802593	-0.02274814	-0.04077575	-0.03559698	0	-0.0330819	-0.01739174	0	0.009610325	-0.01966632	-0.01634914	-0.02850151	-0.006018072	-0.01227009	-0.0244511	-0.01859283	-0.003853569	-0.03111991	-0.02952458	-0.006389798	-0.0253745	-0.0235305	-0.04577914	-0.02027096	-0.04417896	-0.002805051	-0.03377432	-0.02754047	-0.03984591	-0.02038077	-0.02765153	-0.01629838	-0.03461884	-0.03021378	-0.01400583	-0.01545925	0	-0.01197619	-0.02932762	-0.03898545	0	-0.01980263	-0.02069688	0	-0.01256298	0	-0.02197891	-0.004944386
1/23/1990	-0.001510941		-0.009149195	0.01405774	-0.02679819	0	0.02409755	-0.01612938	0.009302393	0	-0.03061464	0.01324523	-0.003318587	0.003594971	-0.004305712	0.01224862	0.00881063	-0.004098366	0.01859732	-0.01531423	0.08338161	-0.01014093	0.003506725	0.003952574	-0.002853069	0.02343857	-0.0330063	0.02712031	0.0145988	-0.0255333	0.01941809	0.01546992	0	-0.006420568	-0.01836037	-0.01626052	0.01906837	0.01580367	0.0171924	0.01541126	0	-0.01040321	0	0.005681833	-0.004259857	-0.001988072	0.01958713	-0.003407158	0.006018072	0.006153866	0.009852296	0.008010724	0	0	0	0.01273903	-0.04009789	0.01769958	-0.1257064	0.003407158	-0.05413693	0.002805051	0.0447836	0.01558473	-0.01639381	0.001112347	0	-0.009434032	-0.001958864	-0.02904769	0.007027436	0	0	0	0.007412932	-0.009216655	-0.01165062	0	-0.00190295	0	0	-0.01307208	-0.0111733	-0.004968954
1/24/1990	-0.004768612		0.003669729	0.007585371	0.002466092	0	0	0.03462396	0	-0.01294051	-0.05685368	-0.01567241	-0.02014618	-0.02666825	-0.0130295	-0.006980831	-0.00881063	0.01089187	-0.0101011	0.01531423	0	-0.009101314	-0.0176579	-0.04436211	0	-0.02343857	0.01333353	-0.01346822	0.00824747	-0.03286166	-0.01104984	-0.007705046	0.01600034	-0.009708814	0.004929154	0.005943554	0.006276171	-0.01934977	-0.00113701	-0.02843794	0	0.006514681	0.02208292	0.002828856	-0.005350468	-0.00799205	-0.01629585	-0.00914292	-0.02224561	0.006116227	-0.02230576	-0.00399734	-0.003868477	0.005730675	-0.00944517	-0.01273903	-0.02469261	0	-0.05214451	-0.02235691	0.003965636	0.002797205	-0.00732604	-0.01210041	0.0136801	0.007751977	0.02765153	-0.00237248	-0.01780462	0.006295928	0	-0.003902444	-0.03881999	0.01197619	-0.005925943	0	-0.007843177	-0.02020271	-0.003816799	0.009523882	-0.02950823	-0.01324523	-0.01129956	0.02094963
1/25/1990	-0.000510394		-0.01662088	0.003771218	0	0	-0.02409755	0	0.009216655	-0.01311017	0.02348798	-0.002433091	-0.02460782	0.003678729	-0.008781615	-0.02482397	-0.003324103	-0.02815153	-0.003389834	0.01058211	0	-0.01961979	-0.04245635	-0.01873104	-0.01438874	0	-0.04054609	0.006756782	-0.01032001	0	0.00554018	-0.004429686	0	-0.003257332	0	0.02052858	0.006237026	-0.01792163	-0.01144177	-0.05202967	0	-0.01044396	-0.0188982	-0.002828856	-0.004301082	-0.009068072	-0.003291281	-0.01678766	0.01219527	-0.03516391	-0.01261051	-0.004013383	-0.00778214	-0.0172915	0.006503127	0	-0.006472515	-0.02967577	0.0216615	-0.03720535	-0.01864235	-0.01974676	-0.01481509	-0.01754431	-0.02615428	-0.01668559	0.009049836	0.00237248	-0.02424361	-0.01051534	-0.01410461	-0.003917733	-0.07346715	-0.02933774	-0.02711009	-0.01869213	0	0.02020271	-0.01444416	-0.009523882	-0.06453852	0	-0.0114287	-0.03222088
1/26/1990	-0.004001797		0.001860466	-0.04097884	-0.007416598	-0.02105341	0.02409755	-0.03462396	-0.009216655	-0.007358385	0.008888947	0.009697046	0.006928434	-0.01479682	0.008781615	0	0.003324103	-0.002091322	-0.01712371	-0.02589634	0	-0.01054491	-0.009962723	0	-0.00727276	-0.003960401	0.01369884	-0.03077166	-0.006243517	0	-0.00554018	0.004429686	-0.01600034	-0.01644774	0.01039447	-0.01609398	0.006198367	-0.01273903	-0.004613618	0	0	-0.002628122	0.02975944	-0.005681833	0.02343025	0	0.006571765	-0.006442189	-0.01834914	0.01255247	0.01511364	0.004013383	-0.04391923	0.005797118	0.01462442	0.006389798	-0.02132977	-0.01212136	0.01535766	0.03720535	0.00402415	0.002844952	-0.01503788	0.003533573	0.01659789	0.01059982	0.00896867	-0.00237248	-0.002047084	-0.0235305	-0.02298952	0	-0.04353494	-0.0176683	-0.01849051	0.01869213	0.003929278	0	-0.01761298	0	0.02061929	0	0	0.02118459
1/29/1990	-0.003311292		-0.01121507	0.01556452	0	-0.04348511	-0.02409755	0	0	0	-0.02509092	0.003612286	-0.006928434	0	0.004362057	0.003584233	0	-0.0084093	-0.01216349	-0.01555241	0	0.01054491	-0.008799554	0.004192878	0.002915454	-0.02817088	-0.006825965	0.01036279	-0.004184107	0.008869238	0.00554018	0	0	0.01644774	-0.01039447	0.02763812	-0.01871156	-0.007352974	0	0	0	0.01566612	0	0.002844952	-0.009518845	-0.003041057	-0.003280484	-0.003531493	-0.01242252	0.01649522	0.004987542	0	-0.02479466	-0.01162804	-0.01168238	-0.006389798	-0.007490672	-0.01846206	-0.07293633	0.01381715	0.0146182	-0.008559253	0	-0.01600034	-0.004123717	0.003877047	-0.00896867	-0.004761914	0	-0.02409755	-0.01022653	-0.006893183	0.01164158	0.0176683	0.01236492	0.009216655	0.003913899	-0.01005034	0.003940892	0.009523882	0.03344793	-0.01342302	0	-0.004944386
1/30/1990	-0.007755465		0	0.02164311	0.002478316	0.02197891	0	-0.01915243	-0.09716375	-0.0133831	-0.01646881	-0.01087624	0.003470217	-0.03154836	-0.01756357	-0.01260143	-0.006659292	0.01536343	-0.03922071	0.00625002	-0.04082199	-0.04043357	0.007547206	-0.01687804	-0.01024149	-0.008196767	-0.03484673	0	-0.002098637	-0.07088681	-0.05391376	0	0	-0.03317054	0.002455495	0.01988702	-0.00631581	-0.01487016	0.01149438	0.003676475	0	-0.00780238	0.003081667	0.002836881	-0.009610325	-0.01431517	0.003280484	-0.006506974	0.00623055	-0.02275176	-0.002490661	-0.006697949	-0.03404584	0	-0.01539403	-0.0459097	0	-0.02515856	-0.03725543	0	-0.003965636	0.01422499	-0.0076046	-0.02909296	-0.02510592	0	-0.01818232	0	-0.0165293	-0.02242246	-0.01628459	0.008853968	-0.01164158	0	-0.03120378	-0.03738753	0	-0.02040887	-0.001968505	-0.009523882	-0.01324523	-0.01360565	0	-0.009962723
